x,y,time,date
2025-10-05 21:28:05+05:30,0.74647535,21:28:05,2025-10-05
2025-10-05 21:28:06+05:30,0.75781737,21:28:06,2025-10-05
2025-10-05 21:28:07+05:30,0.72514008,21:28:07,2025-10-05
2025-10-05 21:28:08+05:30,0.70159659,21:28:08,2025-10-05
2025-10-05 21:28:09+05:30,0.72908891,21:28:09,2025-10-05
2025-10-05 21:28:10+05:30,0.72032130,21:28:10,2025-10-05
2025-10-05 21:28:11+05:30,0.70451975,21:28:11,2025-10-05
2025-10-05 21:28:13+05:30,0.76163935,21:28:13,2025-10-05
2025-10-05 21:28:14+05:30,0.70075125,21:28:14,2025-10-05
2025-10-05 21:28:15+05:30,0.73814579,21:28:15,2025-10-05
2025-10-05 21:28:16+05:30,0.78889250,21:28:16,2025-10-05
2025-10-05 21:28:17+05:30,0.77894141,21:28:17,2025-10-05
2025-10-05 21:28:18+05:30,0.77322793,21:28:18,2025-10-05
2025-10-05 21:28:19+05:30,0.77042099,21:28:19,2025-10-05
2025-10-05 21:28:20+05:30,0.72899993,21:28:20,2025-10-05
2025-10-05 21:28:21+05:30,0.71751038,21:28:21,2025-10-05
2025-10-05 21:28:22+05:30,0.75356216,21:28:22,2025-10-05
2025-10-05 21:28:23+05:30,0.74939697,21:28:23,2025-10-05
2025-10-05 21:28:24+05:30,0.75273819,21:28:24,2025-10-05
2025-10-05 21:28:25+05:30,0.73190718,21:28:25,2025-10-05
2025-10-05 21:28:26+05:30,0.73634704,21:28:26,2025-10-05
2025-10-05 21:28:27+05:30,0.78929690,21:28:27,2025-10-05
2025-10-05 21:28:28+05:30,0.71620968,21:28:28,2025-10-05
2025-10-05 21:28:29+05:30,0.69895146,21:28:29,2025-10-05
2025-10-05 21:28:31+05:30,0.78088028,21:28:31,2025-10-05
2025-10-05 21:28:32+05:30,0.71549067,21:28:32,2025-10-05
2025-10-05 21:28:33+05:30,0.78324761,21:28:33,2025-10-05
2025-10-05 21:28:34+05:30,0.73923809,21:28:34,2025-10-05
2025-10-05 21:28:35+05:30,0.70795091,21:28:35,2025-10-05
2025-10-05 21:28:36+05:30,0.77259539,21:28:36,2025-10-05
2025-10-05 21:28:37+05:30,0.72243461,21:28:37,2025-10-05
2025-10-05 21:28:38+05:30,0.77049556,21:28:38,2025-10-05
2025-10-05 21:28:39+05:30,0.75714236,21:28:39,2025-10-05
2025-10-05 21:28:40+05:30,0.69559860,21:28:40,2025-10-05
2025-10-05 21:28:41+05:30,0.76819438,21:28:41,2025-10-05
2025-10-05 21:28:42+05:30,0.77177071,21:28:42,2025-10-05
2025-10-05 21:28:43+05:30,0.71534914,21:28:43,2025-10-05
2025-10-05 21:28:44+05:30,0.72730198,21:28:44,2025-10-05
2025-10-05 21:28:46+05:30,0.72408936,21:28:46,2025-10-05
2025-10-05 21:28:47+05:30,0.70365904,21:28:47,2025-10-05
2025-10-05 21:28:48+05:30,0.71543000,21:28:48,2025-10-05
2025-10-05 21:28:49+05:30,0.76480017,21:28:49,2025-10-05
2025-10-05 21:28:50+05:30,0.73592415,21:28:50,2025-10-05
2025-10-05 21:28:51+05:30,0.70810976,21:28:51,2025-10-05
2025-10-05 21:28:52+05:30,0.75418036,21:28:52,2025-10-05
2025-10-05 21:28:53+05:30,0.75712094,21:28:53,2025-10-05
2025-10-05 21:28:54+05:30,0.75366168,21:28:54,2025-10-05
2025-10-05 21:28:55+05:30,0.76069495,21:28:55,2025-10-05
2025-10-05 21:28:56+05:30,0.75077344,21:28:56,2025-10-05
2025-10-05 21:28:57+05:30,0.73127182,21:28:57,2025-10-05
2025-10-05 21:28:58+05:30,0.76711178,21:28:58,2025-10-05
2025-10-05 21:28:59+05:30,0.77531568,21:28:59,2025-10-05
2025-10-05 21:29:00+05:30,0.77388310,21:29:00,2025-10-05
2025-10-05 21:29:02+05:30,0.70296162,21:29:02,2025-10-05
2025-10-05 21:29:03+05:30,0.73423854,21:29:03,2025-10-05
2025-10-05 21:29:04+05:30,0.77576908,21:29:04,2025-10-05
2025-10-05 21:29:05+05:30,0.77444853,21:29:05,2025-10-05
2025-10-05 21:29:06+05:30,0.76663581,21:29:06,2025-10-05
2025-10-05 21:29:07+05:30,0.74928475,21:29:07,2025-10-05
2025-10-05 21:29:08+05:30,0.78108557,21:29:08,2025-10-05
2025-10-05 21:29:09+05:30,0.78105256,21:29:09,2025-10-05
2025-10-05 21:29:10+05:30,0.71368022,21:29:10,2025-10-05
2025-10-05 21:29:11+05:30,0.77231081,21:29:11,2025-10-05
2025-10-05 21:29:12+05:30,0.77253650,21:29:12,2025-10-05
2025-10-05 21:29:13+05:30,0.73999926,21:29:13,2025-10-05
2025-10-05 21:29:14+05:30,0.77215201,21:29:14,2025-10-05
2025-10-05 21:29:15+05:30,0.71067128,21:29:15,2025-10-05
2025-10-05 21:29:16+05:30,0.73372697,21:29:16,2025-10-05
2025-10-05 21:29:18+05:30,0.76624180,21:29:18,2025-10-05
2025-10-05 21:29:19+05:30,0.75277935,21:29:19,2025-10-05
2025-10-05 21:29:20+05:30,0.73502893,21:29:20,2025-10-05
2025-10-05 21:29:21+05:30,0.76600722,21:29:21,2025-10-05
2025-10-05 21:29:22+05:30,0.77744299,21:29:22,2025-10-05
2025-10-05 21:29:23+05:30,0.71735695,21:29:23,2025-10-05
2025-10-05 21:29:24+05:30,0.77652592,21:29:24,2025-10-05
2025-10-05 21:29:25+05:30,0.75840950,21:29:25,2025-10-05
2025-10-05 21:29:26+05:30,0.79321075,21:29:26,2025-10-05
2025-10-05 21:29:27+05:30,0.75520167,21:29:27,2025-10-05
2025-10-05 21:29:28+05:30,0.72757578,21:29:28,2025-10-05
2025-10-05 21:29:29+05:30,0.70470254,21:29:29,2025-10-05
2025-10-05 21:29:30+05:30,0.78768508,21:29:30,2025-10-05
2025-10-05 21:29:31+05:30,0.75802847,21:29:31,2025-10-05
2025-10-05 21:29:32+05:30,0.73897701,21:29:32,2025-10-05
2025-10-05 21:29:33+05:30,0.76096553,21:29:33,2025-10-05
2025-10-05 21:29:35+05:30,0.76522487,21:29:35,2025-10-05
2025-10-05 21:29:36+05:30,0.72659002,21:29:36,2025-10-05
2025-10-05 21:29:37+05:30,0.69648333,21:29:37,2025-10-05
2025-10-05 21:29:38+05:30,0.74014192,21:29:38,2025-10-05
2025-10-05 21:29:39+05:30,0.69784827,21:29:39,2025-10-05
2025-10-05 21:29:40+05:30,0.75533837,21:29:40,2025-10-05
2025-10-05 21:29:41+05:30,0.77071274,21:29:41,2025-10-05
2025-10-05 21:29:42+05:30,0.74432527,21:29:42,2025-10-05
2025-10-05 21:29:43+05:30,0.77220531,21:29:43,2025-10-05
2025-10-05 21:29:44+05:30,0.73472864,21:29:44,2025-10-05
2025-10-05 21:29:45+05:30,0.74435128,21:29:45,2025-10-05
2025-10-05 21:29:46+05:30,0.71437574,21:29:46,2025-10-05
2025-10-05 21:29:47+05:30,0.69810367,21:29:47,2025-10-05
2025-10-05 21:29:48+05:30,0.74580985,21:29:48,2025-10-05
2025-10-05 21:29:49+05:30,0.76268543,21:29:49,2025-10-05
2025-10-05 21:29:50+05:30,0.71924013,21:29:50,2025-10-05
2025-10-05 21:29:51+05:30,0.75040823,21:29:51,2025-10-05
2025-10-05 21:29:53+05:30,0.70371454,21:29:53,2025-10-05
2025-10-05 21:29:54+05:30,0.77275248,21:29:54,2025-10-05
2025-10-05 21:29:55+05:30,0.74267886,21:29:55,2025-10-05
2025-10-05 21:29:56+05:30,0.74025939,21:29:56,2025-10-05
2025-10-05 21:29:57+05:30,0.72318223,21:29:57,2025-10-05
2025-10-05 21:29:58+05:30,0.78600697,21:29:58,2025-10-05
2025-10-05 21:29:59+05:30,0.79065185,21:29:59,2025-10-05
2025-10-05 21:30:00+05:30,0.70426243,21:30:00,2025-10-05
2025-10-05 21:30:01+05:30,0.77443354,21:30:01,2025-10-05
2025-10-05 21:30:02+05:30,0.76196146,21:30:02,2025-10-05
2025-10-05 21:30:03+05:30,0.75553276,21:30:03,2025-10-05
2025-10-05 21:30:05+05:30,0.71889534,21:30:05,2025-10-05
2025-10-05 21:30:06+05:30,0.77929464,21:30:06,2025-10-05
2025-10-05 21:30:07+05:30,0.74349960,21:30:07,2025-10-05
2025-10-05 21:30:08+05:30,0.70004579,21:30:08,2025-10-05
2025-10-05 21:30:09+05:30,0.72165051,21:30:09,2025-10-05
2025-10-05 21:30:10+05:30,0.70958239,21:30:10,2025-10-05
2025-10-05 21:30:11+05:30,0.75748065,21:30:11,2025-10-05
2025-10-05 21:30:12+05:30,0.79404001,21:30:12,2025-10-05
2025-10-05 21:30:13+05:30,0.74055354,21:30:13,2025-10-05
2025-10-05 21:30:14+05:30,0.70907687,21:30:14,2025-10-05
2025-10-05 21:30:15+05:30,0.72223056,21:30:15,2025-10-05
2025-10-05 21:30:16+05:30,0.79323279,21:30:16,2025-10-05
2025-10-05 21:30:17+05:30,0.75687718,21:30:17,2025-10-05
2025-10-05 21:30:19+05:30,0.79189656,21:30:19,2025-10-05
2025-10-05 21:30:20+05:30,0.70775264,21:30:20,2025-10-05
